TiempoKey,Fecha,Mes,Dia,Anio
330,2017-11-26,11,26,2017
331,2017-11-27,11,27,2017
332,2017-11-28,11,28,2017
333,2017-11-29,11,29,2017
334,2017-11-30,11,30,2017
335,2017-12-01,12,1,2017
336,2017-12-02,12,2,2017
337,2017-12-03,12,3,2017
338,2017-12-04,12,4,2017
339,2017-12-05,12,5,2017
340,2017-12-06,12,6,2017
341,2017-12-07,12,7,2017
342,2017-12-08,12,8,2017
343,2017-12-09,12,9,2017
344,2017-12-10,12,10,2017
345,2017-12-11,12,11,2017
346,2017-12-12,12,12,2017
347,2017-12-13,12,13,2017
348,2017-12-14,12,14,2017
349,2017-12-15,12,15,2017
350,2017-12-16,12,16,2017
351,2017-12-17,12,17,2017
352,2017-12-18,12,18,2017
353,2017-12-19,12,19,2017
354,2017-12-20,12,20,2017
355,2017-12-21,12,21,2017
356,2017-12-22,12,22,2017
357,2017-12-23,12,23,2017
358,2017-12-24,12,24,2017
359,2017-12-25,12,25,2017
360,2017-12-26,12,26,2017
361,2017-12-27,12,27,2017
362,2017-12-28,12,28,2017
363,2017-12-29,12,29,2017
364,2017-12-30,12,30,2017
365,2017-12-31,12,31,2017
366,2018-01-01,1,1,2018
367,2018-01-02,1,2,2018
368,2018-01-03,1,3,2018
369,2018-01-04,1,4,2018
370,2018-01-05,1,5,2018
371,2018-01-06,1,6,2018
372,2018-01-07,1,7,2018
373,2018-01-08,1,8,2018
374,2018-01-09,1,9,2018
375,2018-01-10,1,10,2018
376,2018-01-11,1,11,2018
377,2018-01-12,1,12,2018
378,2018-01-13,1,13,2018
379,2018-01-14,1,14,2018
380,2018-01-15,1,15,2018
381,2018-01-16,1,16,2018
382,2018-01-17,1,17,2018
383,2018-01-18,1,18,2018
384,2018-01-19,1,19,2018
385,2018-01-20,1,20,2018
386,2018-01-21,1,21,2018
387,2018-01-22,1,22,2018
388,2018-01-23,1,23,2018
389,2018-01-24,1,24,2018
390,2018-01-25,1,25,2018
391,2018-01-26,1,26,2018
392,2018-01-27,1,27,2018
393,2018-01-28,1,28,2018
394,2018-01-29,1,29,2018
395,2018-01-30,1,30,2018
396,2018-01-31,1,31,2018
397,2018-02-01,2,1,2018
398,2018-02-02,2,2,2018
399,2018-02-03,2,3,2018
400,2018-02-04,2,4,2018
401,2018-02-05,2,5,2018
402,2018-02-06,2,6,2018
403,2018-02-07,2,7,2018
404,2018-02-08,2,8,2018
405,2018-02-09,2,9,2018
406,2018-02-10,2,10,2018
407,2018-02-11,2,11,2018
408,2018-02-12,2,12,2018
409,2018-02-13,2,13,2018
410,2018-02-14,2,14,2018
411,2018-02-15,2,15,2018
412,2018-02-16,2,16,2018
413,2018-02-17,2,17,2018
414,2018-02-18,2,18,2018
415,2018-02-19,2,19,2018
416,2018-02-20,2,20,2018
417,2018-02-21,2,21,2018
418,2018-02-22,2,22,2018
419,2018-02-23,2,23,2018
420,2018-02-24,2,24,2018
421,2018-02-25,2,25,2018
422,2018-02-26,2,26,2018
423,2018-02-27,2,27,2018
424,2018-02-28,2,28,2018
425,2018-03-01,3,1,2018
426,2018-03-02,3,2,2018
427,2018-03-03,3,3,2018
428,2018-03-04,3,4,2018
429,2018-03-05,3,5,2018
430,2018-03-06,3,6,2018
431,2018-03-07,3,7,2018
432,2018-03-08,3,8,2018
433,2018-03-09,3,9,2018
434,2018-03-10,3,10,2018
435,2018-03-11,3,11,2018
436,2018-03-12,3,12,2018
437,2018-03-13,3,13,2018
438,2018-03-14,3,14,2018
439,2018-03-15,3,15,2018
440,2018-03-16,3,16,2018
441,2018-03-17,3,17,2018
442,2018-03-18,3,18,2018
443,2018-03-19,3,19,2018
444,2018-03-20,3,20,2018
445,2018-03-21,3,21,2018
446,2018-03-22,3,22,2018
447,2018-03-23,3,23,2018
448,2018-03-24,3,24,2018
449,2018-03-25,3,25,2018
450,2018-03-26,3,26,2018
451,2018-03-27,3,27,2018
452,2018-03-28,3,28,2018
453,2018-03-29,3,29,2018
454,2018-03-30,3,30,2018
